Entity,Code,Day,COVID-19 doses (cumulative)
Poland,POL,2020-12-28,2000
Poland,POL,2020-12-29,6300
Poland,POL,2020-12-30,36300
Poland,POL,2020-12-31,47600
Poland,POL,2021-01-02,50391
Poland,POL,2021-01-03,50833
Poland,POL,2021-01-04,92220
Poland,POL,2021-01-05,140226
Poland,POL,2021-01-06,160359
Poland,POL,2021-01-07,188956
Poland,POL,2021-01-08,198787
Poland,POL,2021-01-09,200022
Poland,POL,2021-01-10,203053
Poland,POL,2021-01-11,257834
Poland,POL,2021-01-12,309620
Poland,POL,2021-01-13,369212
Poland,POL,2021-01-14,410480
Poland,POL,2021-01-15,436963
Poland,POL,2021-01-16,457303
Poland,POL,2021-01-17,469466
Poland,POL,2021-01-18,495164
Poland,POL,2021-01-19,541229
Poland,POL,2021-01-20,591785
Poland,POL,2021-01-21,644999
Poland,POL,2021-01-22,684277
Poland,POL,2021-01-23,701164
Poland,POL,2021-01-24,707474
Poland,POL,2021-01-25,776987
Poland,POL,2021-01-26,905457
Poland,POL,2021-01-27,1008253
Poland,POL,2021-01-28,1097036
Poland,POL,2021-01-29,1141081
Poland,POL,2021-01-30,1156931
Poland,POL,2021-01-31,1176904
Poland,POL,2021-02-01,1231716
Poland,POL,2021-02-02,1342435
Poland,POL,2021-02-03,1461578
Poland,POL,2021-02-04,1566604
Poland,POL,2021-02-05,1617764
Poland,POL,2021-02-06,1641158
Poland,POL,2021-02-07,1656708
Poland,POL,2021-02-09,1773715
Poland,POL,2021-02-11,1993739
Poland,POL,2021-02-12,2071009
Poland,POL,2021-02-13,2107089
Poland,POL,2021-02-14,2122245
Poland,POL,2021-02-15,2159146
Poland,POL,2021-02-16,2230117
Poland,POL,2021-02-17,2384794
Poland,POL,2021-02-18,2556999
Poland,POL,2021-02-19,2660776
Poland,POL,2021-02-20,2697815
Poland,POL,2021-02-21,2715159
Poland,POL,2021-02-22,2759436
Poland,POL,2021-02-24,2990683
Poland,POL,2021-02-26,3269812
Poland,POL,2021-02-28,3336354
Poland,POL,2021-03-01,3383426
Poland,POL,2021-03-03,3619316
Poland,POL,2021-03-04,3791577
Poland,POL,2021-03-06,3951104
Poland,POL,2021-03-08,4004734
Poland,POL,2021-03-09,4086863
Poland,POL,2021-03-11,4391256
Poland,POL,2021-03-12,4487273
Poland,POL,2021-03-13,4517537
Poland,POL,2021-03-14,4530783
Poland,POL,2021-03-15,4557060
Poland,POL,2021-03-16,4605929
Poland,POL,2021-03-17,4738902
Poland,POL,2021-03-18,4893320
Poland,POL,2021-03-19,4983494
Poland,POL,2021-03-20,5014167
Poland,POL,2021-03-21,5026182
Poland,POL,2021-03-22,5077928
Poland,POL,2021-03-23,5193835
Poland,POL,2021-03-24,5381726
Poland,POL,2021-03-26,5755551
Poland,POL,2021-03-28,5882581
Poland,POL,2021-03-30,6081824
Poland,POL,2021-03-31,6270976
Poland,POL,2021-04-01,6462769
Poland,POL,2021-04-02,6614819
Poland,POL,2021-04-04,6658909
Poland,POL,2021-04-05,6665384
Poland,POL,2021-04-07,6999652
Poland,POL,2021-04-08,7263426
Poland,POL,2021-04-10,7635264
Poland,POL,2021-04-11,7687617
Poland,POL,2021-04-12,7784384
Poland,POL,2021-04-13,7970164
Poland,POL,2021-04-15,8484815
Poland,POL,2021-04-19,9006539
Poland,POL,2021-04-20,9210419
Poland,POL,2021-04-21,9495317
Poland,POL,2021-04-22,9806966
Poland,POL,2021-04-23,10069710
Poland,POL,2021-04-25,10343967
