Entity,Code,Day,"COVID-19 doses (daily, 7-day average)"
Poland,POL,2020-12-29,4300
Poland,POL,2020-12-30,17150
Poland,POL,2020-12-31,15200
Poland,POL,2021-01-01,11748.875
Poland,POL,2021-01-02,9678.2
Poland,POL,2021-01-03,8138.8335
Poland,POL,2021-01-04,12888.571
Poland,POL,2021-01-05,19132.285
Poland,POL,2021-01-06,17722.715
Poland,POL,2021-01-07,20193.715
Poland,POL,2021-01-08,21398.785
Poland,POL,2021-01-09,21375.857
Poland,POL,2021-01-10,21745.715
Poland,POL,2021-01-11,23659.143
Poland,POL,2021-01-12,24199.143
Poland,POL,2021-01-13,29836.143
Poland,POL,2021-01-14,31646.285
Poland,POL,2021-01-15,34025.145
Poland,POL,2021-01-16,36754.43
Poland,POL,2021-01-17,38059
Poland,POL,2021-01-18,33904.285
Poland,POL,2021-01-19,33087
Poland,POL,2021-01-20,31796.143
Poland,POL,2021-01-21,33502.715
Poland,POL,2021-01-22,35330.57
Poland,POL,2021-01-23,34837.285
Poland,POL,2021-01-24,34001.145
Poland,POL,2021-01-25,40260.43
Poland,POL,2021-01-26,52032.57
Poland,POL,2021-01-27,59495.43
Poland,POL,2021-01-28,64576.715
Poland,POL,2021-01-29,65257.715
Poland,POL,2021-01-30,65109.57
Poland,POL,2021-01-31,67061.43
Poland,POL,2021-02-01,64961.285
Poland,POL,2021-02-02,62425.43
Poland,POL,2021-02-03,64760.715
Poland,POL,2021-02-04,67081.14
Poland,POL,2021-02-05,68097.57
Poland,POL,2021-02-06,69175.29
Poland,POL,2021-02-07,68543.43
Poland,POL,2021-02-08,69070.79
Poland,POL,2021-02-09,61611.43
Poland,POL,2021-02-10,60307
Poland,POL,2021-02-11,61019.285
Poland,POL,2021-02-12,64749.285
Poland,POL,2021-02-13,66561.57
Poland,POL,2021-02-14,66505.29
Poland,POL,2021-02-15,63419.215
Poland,POL,2021-02-16,65200.285
Poland,POL,2021-02-17,71581
Poland,POL,2021-02-18,80465.71
Poland,POL,2021-02-19,84252.43
Poland,POL,2021-02-20,84389.43
Poland,POL,2021-02-21,84702
Poland,POL,2021-02-22,85755.71
Poland,POL,2021-02-23,92134.64
Poland,POL,2021-02-24,86555.57
Poland,POL,2021-02-25,81892.64
Poland,POL,2021-02-26,87005.14
Poland,POL,2021-02-27,86466.86
Poland,POL,2021-02-28,88742.14
Poland,POL,2021-03-01,89141.43
Poland,POL,2021-03-02,89473.07
Poland,POL,2021-03-03,89804.71
Poland,POL,2021-03-04,94475.64
Poland,POL,2021-03-05,85932.64
Poland,POL,2021-03-06,92574.43
Poland,POL,2021-03-07,91652.14
Poland,POL,2021-03-08,88758.29
Poland,POL,2021-03-09,83641.71
Poland,POL,2021-03-10,88534.79
Poland,POL,2021-03-11,85668.43
Poland,POL,2021-03-12,87990.36
Poland,POL,2021-03-13,80919
Poland,POL,2021-03-14,78980.57
Poland,POL,2021-03-15,78903.71
Poland,POL,2021-03-16,74152.29
Poland,POL,2021-03-17,71406.07
Poland,POL,2021-03-18,71723.43
Poland,POL,2021-03-19,70888.71
Poland,POL,2021-03-20,70947.14
Poland,POL,2021-03-21,70771.29
Poland,POL,2021-03-22,74409.71
Poland,POL,2021-03-23,83986.57
Poland,POL,2021-03-24,91832
Poland,POL,2021-03-25,96474.07
Poland,POL,2021-03-26,110293.86
Poland,POL,2021-03-27,114985.57
Poland,POL,2021-03-28,122342.71
Poland,POL,2021-03-29,129182.07
Poland,POL,2021-03-30,126855.57
Poland,POL,2021-03-31,127035.71
Poland,POL,2021-04-01,127732.93
Poland,POL,2021-04-02,122752.57
Poland,POL,2021-04-03,116828.29
Poland,POL,2021-04-04,110904
Poland,POL,2021-04-05,97597.36
Poland,POL,2021-04-06,107242
Poland,POL,2021-04-07,104096.57
Poland,POL,2021-04-08,114379.57
Poland,POL,2021-04-09,119218
Poland,POL,2021-04-10,142628.58
Poland,POL,2021-04-11,146958.28
Poland,POL,2021-04-12,159857.14
Poland,POL,2021-04-13,162520.86
Poland,POL,2021-04-14,175405.36
Poland,POL,2021-04-15,174484.14
Poland,POL,2021-04-16,166557.28
Poland,POL,2021-04-17,158630.42
Poland,POL,2021-04-18,169784.42
Poland,POL,2021-04-19,174593.58
Poland,POL,2021-04-20,177179.28
Poland,POL,2021-04-21,181118.22
Poland,POL,2021-04-22,188878.72
Poland,POL,2021-04-23,207780.58
Poland,POL,2021-04-24,208737.36
Poland,POL,2021-04-25,209694.14
Poland,POL,2021-04-26,219361.28
Poland,POL,2021-04-27,218535.72
Poland,POL,2021-04-28,226578.86
Poland,POL,2021-04-29,237690.58
Poland,POL,2021-04-30,229174.28
Poland,POL,2021-05-01,238603.08
Poland,POL,2021-05-02,227493.72
Poland,POL,2021-05-03,207674
Poland,POL,2021-05-04,223591.08
Poland,POL,2021-05-05,219065.42
Poland,POL,2021-05-06,223364
Poland,POL,2021-05-07,247933.28
Poland,POL,2021-05-08,256211.58
Poland,POL,2021-05-09,261116.42
Poland,POL,2021-05-10,280263
Poland,POL,2021-05-11,281283.5
Poland,POL,2021-05-12,299243.44
Poland,POL,2021-05-13,301489
Poland,POL,2021-05-14,299935.72
Poland,POL,2021-05-15,300784.16
Poland,POL,2021-05-16,302175.56
Poland,POL,2021-05-17,297988.56
Poland,POL,2021-05-18,299735
Poland,POL,2021-05-19,300591.16
Poland,POL,2021-05-20,301447.28
Poland,POL,2021-05-21,301617.84
Poland,POL,2021-05-22,298650.84
Poland,POL,2021-05-23,294520.72
Poland,POL,2021-05-24,291752
Poland,POL,2021-05-25,288195.84
Poland,POL,2021-05-26,281653
Poland,POL,2021-05-27,274324.16
Poland,POL,2021-05-28,272099.16
Poland,POL,2021-05-29,277338.44
Poland,POL,2021-05-30,281134.28
Poland,POL,2021-05-31,285544
Poland,POL,2021-06-01,306605
Poland,POL,2021-06-02,341329.44
Poland,POL,2021-06-03,307403.56
Poland,POL,2021-06-04,318415.16
Poland,POL,2021-06-05,316845.16
Poland,POL,2021-06-06,317901.44
Poland,POL,2021-06-07,322286.44
Poland,POL,2021-06-08,314435.16
Poland,POL,2021-06-09,295085.16
Poland,POL,2021-06-10,328779.16
Poland,POL,2021-06-11,327412.56
Poland,POL,2021-06-12,333558.56
Poland,POL,2021-06-13,333705.56
Poland,POL,2021-06-14,335286.44
Poland,POL,2021-06-15,335459.84
Poland,POL,2021-06-16,320406.16
Poland,POL,2021-06-17,322288.28
Poland,POL,2021-06-18,308718.28
Poland,POL,2021-06-19,294526.84
Poland,POL,2021-06-20,289180.16
Poland,POL,2021-06-21,282557
Poland,POL,2021-06-22,284723.56
Poland,POL,2021-06-23,283552.56
Poland,POL,2021-06-24,248206
Poland,POL,2021-06-25,254493.72
Poland,POL,2021-06-26,276034.44
Poland,POL,2021-06-27,278973.84
Poland,POL,2021-06-28,276541.72
Poland,POL,2021-06-29,258625.86
Poland,POL,2021-06-30,253480.14
Poland,POL,2021-07-01,274589
Poland,POL,2021-07-02,257590.72
Poland,POL,2021-07-03,230161.58
Poland,POL,2021-07-04,225252.86
Poland,POL,2021-07-05,221041.42
Poland,POL,2021-07-06,215588.42
Poland,POL,2021-07-07,213879
Poland,POL,2021-07-08,208639.58
Poland,POL,2021-07-09,209543.42
Poland,POL,2021-07-10,204431.78
Poland,POL,2021-07-11,215904.14
Poland,POL,2021-07-12,214985
Poland,POL,2021-07-13,209382
Poland,POL,2021-07-14,202783.58
Poland,POL,2021-07-15,201241.28
Poland,POL,2021-07-16,191793.14
Poland,POL,2021-07-17,198791.36
Poland,POL,2021-07-18,188632.78
Poland,POL,2021-07-19,181415.28
Poland,POL,2021-07-20,174306.72
Poland,POL,2021-07-21,160299.14
Poland,POL,2021-07-22,152695.42
Poland,POL,2021-07-23,148677
Poland,POL,2021-07-24,131062.93
Poland,POL,2021-07-25,130605.64
Poland,POL,2021-07-26,131504.14
Poland,POL,2021-07-27,123128.14
Poland,POL,2021-07-28,116514.57
Poland,POL,2021-07-29,105610.14
Poland,POL,2021-07-30,98959.86
Poland,POL,2021-07-31,103444.64
Poland,POL,2021-08-01,99084.14
Poland,POL,2021-08-02,96828.43
Poland,POL,2021-08-03,93159.29
Poland,POL,2021-08-04,86501.43
Poland,POL,2021-08-05,83600
Poland,POL,2021-08-06,80341.71
Poland,POL,2021-08-07,79544
Poland,POL,2021-08-08,79271.57
Poland,POL,2021-08-09,75538.57
Poland,POL,2021-08-10,73774.86
Poland,POL,2021-08-11,69672
Poland,POL,2021-08-12,67810
Poland,POL,2021-08-13,64116.855
Poland,POL,2021-08-14,60423.715
Poland,POL,2021-08-15,58905.285
Poland,POL,2021-08-16,60568.43
Poland,POL,2021-08-17,59263.715
Poland,POL,2021-08-18,61639.285
Poland,POL,2021-08-19,58530.285
Poland,POL,2021-08-20,59709.43
Poland,POL,2021-08-21,56528.145
Poland,POL,2021-08-22,56229.285
Poland,POL,2021-08-23,56614.855
Poland,POL,2021-08-24,55433.145
Poland,POL,2021-08-25,52000.355
Poland,POL,2021-08-26,51793.145
Poland,POL,2021-08-27,51950.715
Poland,POL,2021-08-28,52279.57
Poland,POL,2021-08-29,52832.285
Poland,POL,2021-08-30,51653.855
Poland,POL,2021-08-31,52801
Poland,POL,2021-09-01,50047.5
Poland,POL,2021-09-02,48286
Poland,POL,2021-09-03,46418.715
Poland,POL,2021-09-04,44808.57
Poland,POL,2021-09-05,43640.855
Poland,POL,2021-09-06,41869.715
Poland,POL,2021-09-07,39291.43
Poland,POL,2021-09-08,38475.715
Poland,POL,2021-09-09,37989.43
Poland,POL,2021-09-10,36839.57
Poland,POL,2021-09-11,36006.145
Poland,POL,2021-09-12,35650.57
Poland,POL,2021-09-13,35845.285
Poland,POL,2021-09-14,34521.57
Poland,POL,2021-09-15,33755.57
Poland,POL,2021-09-16,31613.428
Poland,POL,2021-09-17,30311.857
Poland,POL,2021-09-18,28916.928
Poland,POL,2021-09-19,29640.715
Poland,POL,2021-09-20,28758.857
Poland,POL,2021-09-21,29106.143
Poland,POL,2021-09-22,33129.43
Poland,POL,2021-09-23,32279.572
Poland,POL,2021-09-24,31817.715
Poland,POL,2021-09-25,29643.785
Poland,POL,2021-09-26,27985.428
Poland,POL,2021-09-27,25851
Poland,POL,2021-09-28,25586
Poland,POL,2021-09-29,19979.715
Poland,POL,2021-09-30,22958
Poland,POL,2021-10-01,24707.715
Poland,POL,2021-10-02,26328.143
Poland,POL,2021-10-03,32111.572
Poland,POL,2021-10-04,72516.71
Poland,POL,2021-10-05,75321.04
Poland,POL,2021-10-06,78225.5
Poland,POL,2021-10-07,77473.25
Poland,POL,2021-10-08,76721
Poland,POL,2021-10-09,81519.04
Poland,POL,2021-10-10,81638.5
Poland,POL,2021-10-11,47136.25
Poland,POL,2021-10-12,47136.25
Poland,POL,2021-10-13,41580.645
Poland,POL,2021-10-14,49170.25
Poland,POL,2021-10-15,56759.855
Poland,POL,2021-10-16,54141.535
Poland,POL,2021-10-17,48201.645
Poland,POL,2021-10-18,47676.605
Poland,POL,2021-10-19,47151.57
Poland,POL,2021-10-20,55463
Poland,POL,2021-10-21,51281.07
Poland,POL,2021-10-22,44889.355
Poland,POL,2021-10-23,48705.57
Poland,POL,2021-10-24,49003.855
Poland,POL,2021-10-25,48772.285
Poland,POL,2021-10-26,61254
Poland,POL,2021-10-27,62464.93
