XLSMiesiac;Zwolennicy;Przeciwnicy;Obojetni;Premier
I 1993;43;28;25;Hanna Suchocka
II 1993;36;26;32;Hanna Suchocka
III 1993;44;24;27;Hanna Suchocka
IV 1993;34;31;31;Hanna Suchocka
V 1993;33;36;27;Hanna Suchocka
VI 1993;37;24;34;Hanna Suchocka
VII 1993;31;35;30;Hanna Suchocka
VIII 1993;32;36;26;Hanna Suchocka
IX 1993;;;;
X 1993;;;;
XI 1993;61;12;20;Waldemar Pawlak
XII 1993;55;13;26;Waldemar Pawlak
I 1994;45;18;31;Waldemar Pawlak
II 1994;41;23;33;Waldemar Pawlak
III 1994;39;25;31;Waldemar Pawlak
IV 1994;35;22;37;Waldemar Pawlak
V 1994;33;25;37;Waldemar Pawlak
VI 1994;38;21;36;Waldemar Pawlak
VII 1994;32;25;37;Waldemar Pawlak
VIII 1994;;;;Waldemar Pawlak
IX 1994;27;28;37;Waldemar Pawlak
X 1994;33;30;33;Waldemar Pawlak
XI 1994;29;30;37;Waldemar Pawlak
XII 1994;28;32;33;Waldemar Pawlak
I 1995;32;30;34;Waldemar Pawlak
II 1995;24;36;35;Waldemar Pawlak
III 1995;;;;
IV 1995;33;24;37;J�zef Oleksy
V 1995;29;25;42;J�zef Oleksy
VI 1995;25;29;39;J�zef Oleksy
VII 1995;28;28;40;J�zef Oleksy
VIII 1995;24;24;46;J�zef Oleksy
IX 1995;25;29;40;J�zef Oleksy
X 1995;26;29;39;J�zef Oleksy
XI 1995;35;24;34;J�zef Oleksy
XII 1995;39;23;33;J�zef Oleksy
I 1996;44;22;29;J�zef Oleksy
II 1996;;;;
III 1996;41;22;30;W�odzimierz Cimoszewicz
IV 1996;39;21;34;W�odzimierz Cimoszewicz
V 1996;38;23;33;W�odzimierz Cimoszewicz
VI 1996;34;25;36;W�odzimierz Cimoszewicz
VII 1996;38;24;35;W�odzimierz Cimoszewicz
VIII 1996;37;24;35;W�odzimierz Cimoszewicz
IX 1996;38;24;34;W�odzimierz Cimoszewicz
X 1996;37;23;35;W�odzimierz Cimoszewicz
XI 1996;35;24;38;W�odzimierz Cimoszewicz
XII 1996;34;29;33;W�odzimierz Cimoszewicz
I 1997;35;25;34;W�odzimierz Cimoszewicz
II 1997;41;21;34;W�odzimierz Cimoszewicz
III 1997;34;27;35;W�odzimierz Cimoszewicz
IV 1997;39;26;32;W�odzimierz Cimoszewicz
V 1997;39;27;29;W�odzimierz Cimoszewicz
VI 1997;48;20;28;W�odzimierz Cimoszewicz
VII 1997;44;24;28;W�odzimierz Cimoszewicz
VIII 1997;42;25;29;W�odzimierz Cimoszewicz
IX 1997;44;23;29;W�odzimierz Cimoszewicz
X 1997;;;;
XI 1997;48;12;33;Jerzy Buzek
XII 1997;37;22;34;Jerzy Buzek
I 1998;40;24;32;Jerzy Buzek
II 1998;40;21;34;Jerzy Buzek
III 1998;38;23;35;Jerzy Buzek
IV 1998;44;24;27;Jerzy Buzek
V 1998;36;22;37;Jerzy Buzek
VI 1998;34;24;38;Jerzy Buzek
VII 1998;34;26;37;Jerzy Buzek
VIII 1998;37;23;36;Jerzy Buzek
IX 1998;35;24;37;Jerzy Buzek
X 1998;36;22;36;Jerzy Buzek
XI 1998;37;21;37;Jerzy Buzek
XII 1998;40;20;36;Jerzy Buzek
I 1999;36;27;33;Jerzy Buzek
II 1999;36;33;28;Jerzy Buzek
III 1999;27;37;31;Jerzy Buzek
IV 1999;31;37;28;Jerzy Buzek
V 1999;32;32;33;Jerzy Buzek
VI 1999;36;31;27;Jerzy Buzek
VII 1999;30;35;30;Jerzy Buzek
VIII 1999;26;39;31;Jerzy Buzek
IX 1999;25;43;28;Jerzy Buzek
X 1999;24;44;29;Jerzy Buzek
XI 1999;26;41;30;Jerzy Buzek
XII 1999;26;40;31;Jerzy Buzek
I 2000;24;40;33;Jerzy Buzek
II 2000;22;45;31;Jerzy Buzek
III 2000;20;46;29;Jerzy Buzek
IV 2000;22;49;25;Jerzy Buzek
V 2000;22;44;30;Jerzy Buzek
VI 2000;19;51;25;Jerzy Buzek
VII 2000;23;42;31;Jerzy Buzek
VIII 2000;20;43;31;Jerzy Buzek
IX 2000;25;40;30;Jerzy Buzek
X 2000;22;42;30;Jerzy Buzek
XI 2000;22;42;31;Jerzy Buzek
XII 2000;19;47;29;Jerzy Buzek
I 2001;23;43;28;Jerzy Buzek
II 2001;21;46;29;Jerzy Buzek
III 2001;17;49;31;Jerzy Buzek
IV 2001;21;45;30;Jerzy Buzek
V 2001;21;52;24;Jerzy Buzek
VI 2001;20;50;26;Jerzy Buzek
VII 2001;16;52;29;Jerzy Buzek
VIII 2001;15;53;28;Jerzy Buzek
IX 2001;18;49;29;Jerzy Buzek
X 2001;;;;
XI 2001;50;15;28;Leszek Miller
XII 2001;36;24;32;Leszek Miller
I 2002;36;26;31;Leszek Miller
II 2002;36;27;31;Leszek Miller
III 2002;30;28;36;Leszek Miller
IV 2002;31;30;33;Leszek Miller
V 2002;31;27;37;Leszek Miller
VI 2002;30;33;32;Leszek Miller
VII 2002;28;35;33;Leszek Miller
VIII 2002;33;29;35;Leszek Miller
IX 2002;32;28;34;Leszek Miller
X 2002;33;28;33;Leszek Miller
XI 2002;34;29;32;Leszek Miller
XII 2002;27;32;36;Leszek Miller
I 2003;28;29;39;Leszek Miller
II 2003;28;35;34;Leszek Miller
III 2003;24;33;39;Leszek Miller
IV 2003;16;43;35;Leszek Miller
V 2003;16;45;33;Leszek Miller
VI 2003;16;45;34;Leszek Miller
VII 2003;16;46;34;Leszek Miller
VIII 2003;17;44;34;Leszek Miller
IX 2003;18;45;33;Leszek Miller
X 2003;18;47;31;Leszek Miller
XI 2003;17;51;28;Leszek Miller
